사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201905,2호선,방배,11,0,3675,3667,11888,14901,31128,33536,43334,90047,34597,70840,25278,47471,26594,33850,29743,34706,33020,33963,33594,33327,42722,30294,50112,33479,61213,39920,89923,50334,43202,39027,31860,25415,32752,24301,27995,26986,12017,15523,2727,5474,1,6,0,0,0,0,20190603
201905,경부선,신길,606,3,14709,2887,12786,7974,29132,19973,38749,32962,24296,12245,16034,8064,13680,7607,15156,8711,13814,9528,11901,9705,13647,11797,16248,13955,21500,20054,36766,26394,15705,21002,10437,14479,10774,15720,7369,15031,3475,9613,264,2897,1,2,0,0,0,0,20190603
201905,4호선,명동,62,1,1617,1564,3754,18668,6820,58365,15785,149430,29904,110301,38010,78523,45334,84833,48384,94309,55016,93529,66260,84548,81890,89072,96506,87153,111108,94449,160280,86080,107435,65105,98368,45014,104925,33277,102919,21660,43998,12994,2914,4031,1,200,0,0,0,0,20190603
201905,4호선,상계,156,5,16052,287,43050,9738,109554,20736,101718,23383,58767,19294,39922,16786,34901,17503,34893,21704,33429,23541,27798,25959,27002,31197,31585,38619,29849,48615,29545,72212,20364,72438,15013,47096,13363,42758,14304,41248,5576,33069,873,10808,2,1187,0,0,0,0,20190603
201905,경부선,오산대,128,1,2316,899,4895,2945,12508,4885,10055,12596,7233,13032,5641,9221,5472,6584,6778,5481,6399,5193,6893,4668,9163,5140,11921,5787,12624,8631,10319,10390,4913,9130,3913,6799,3586,5680,2476,4696,996,4136,39,235,0,0,0,0,0,0,20190603
201905,중앙선,용문,329,6,1321,11,3314,747,4847,2855,6109,6048,4475,4858,4800,8195,4154,16630,6448,14038,8377,6430,10779,7443,13715,6310,14554,4677,9443,6103,6235,5425,3578,3662,2252,4273,1284,2572,649,2781,169,2263,5,1146,0,29,0,0,0,0,20190603
201905,4호선,동작(현충원),8,0,735,308,1957,2612,6081,4259,8443,10977,5956,8607,4734,4765,8747,4064,5719,6175,4564,7555,5323,5700,8379,5680,6972,5976,6981,6891,8971,9230,4883,6928,3865,5294,3694,4070,3179,3790,1223,2546,277,1242,2,117,0,0,0,0,20190603
201905,장항선,배방,5,0,887,126,1668,743,4321,1259,3457,2059,3464,1446,1847,1493,1827,2163,1907,1294,1921,2172,1743,1250,1948,2761,1860,1694,2601,3924,2630,3101,1582,2744,1281,2753,1150,1647,683,1473,490,1926,165,810,0,0,0,0,0,0,20190603
201905,분당선,강남구청,38,1,1600,704,3046,5475,8694,15674,12740,59459,11139,42834,10311,21953,11320,16227,12126,16212,14434,18258,14952,17128,17262,16344,17702,16602,23557,18466,53392,22747,28499,17587,17016,9647,15932,7952,12352,7842,5004,5241,132,1029,0,0,0,0,0,0,20190603
201905,7호선,부천종합운동장,7,0,3818,898,8018,3115,24488,5904,27508,12333,13391,6327,8302,4693,7477,4376,7853,4403,7366,5166,6114,5573,6466,5671,7445,7284,9200,10086,12356,16025,6058,14731,4124,8982,4239,7998,2275,8335,914,5605,101,2144,0,0,0,0,0,0,20190603
